pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_teff,st_rad,st_mass,discoverymethod,disc_year,pl_controv_flag,sy_dist
TOI-2076 b,TOI-2076,10.35504,0.08781,2.59,6.7,49.4,736.0,5187.0,0.758,0.849,Transit,2021.0,0,41.9091
TOI-2076 c,TOI-2076,21.01447,0.1407,3.54,7.2,32.7,581.0,5187.0,0.758,0.849,Transit,2021.0,0,41.9091
TOI-2076 d,TOI-2076,35.12803,0.1982,3.27,7.3,16.5,490.0,5187.0,0.758,0.849,Transit,2021.0,0,41.9091
TOI-2076 e,TOI-2076,3.0223753,0.03863,1.301,4.7,,1110.0,5187.0,0.758,0.849,Transit,2025.0,0,41.9091
TOI-2081 b,TOI-2081,10.50534,0.0752,2.04,4.82,8.1,488.0,3800.0,0.534,0.54,Transit,2022.0,0,62.3446
TOI-2084 b,TOI-2084,6.0784247,0.05006,2.47,6.66,12.8,527.0,3551.0,0.475,0.453,Transit,2023.0,0,114.549
TOI-2088 b,TOI-2088,124.72997,0.472,3.6831179,37.0,1.7338,300.33,5081.0,0.8481,0.9027,Transit,2024.0,0,126.46
TOI-209 b,TOI-209,4.37943587445,,2.3947209,6.32,120.936,845.78,4806.66,0.742779,0.81,Transit,2026.0,0,113.387
TOI-2092 b,TOI-2092,4.30325528074,,2.94892961,9.0,195.793,1042.0,5842.06,1.0519,0.956,Transit,2026.0,0,176.759
TOI-2093 b,TOI-2093,12.836,0.097,3.25,10.6,,535.0,4426.0,0.729,0.745,Radial Velocity,2025.0,0,82.7982
TOI-2093 c,TOI-2093,53.81149,0.257,2.3,15.8,3.0647,329.0,4426.0,0.729,0.745,Transit,2025.0,0,82.7982
TOI-2094 b,TOI-2094,18.793193,0.136,1.9,4.27,0.98,276.0,3435.0,0.384,0.425,Transit,2026.0,0,50.0248
TOI-2095 b,TOI-2095,17.66484,0.101,1.25,4.1,3.43,347.0,3759.0,0.44,0.44,Transit,2023.0,0,41.9176
TOI-2095 c,TOI-2095,28.17232,0.137,1.33,7.4,1.84,297.0,3759.0,0.44,0.44,Transit,2023.0,0,41.9176
TOI-2096 b,TOI-2096,3.1190633,0.025,1.243,2.08,9.4,445.0,3300.0,0.235,0.231,Transit,2023.0,0,48.4809
TOI-2096 c,TOI-2096,6.38784,0.04,1.914,4.32,3.7,349.0,3300.0,0.235,0.231,Transit,2023.0,0,48.4809
TOI-2104 b,TOI-2104,5.904370457,,1.52898127,2.95,85.3357,846.0,4856.13,0.723757,0.8,Transit,2026.0,0,76.7418
TOI-2107 b,TOI-2107,2.4545467,0.03515,13.57407563,263.79757781,508.468,1397.0,5627.0,0.932,0.961,Transit,2024.0,0,236.705
TOI-2109 b,TOI-2109,0.67247414,0.01791,15.098497,1595.49860314,14429.0,3646.0,6540.0,1.698,1.453,Transit,2021.0,0,262.041
